school_id,season_href,school_name,season,division
658,/team/658/10080,Southern Conn. St.,2009,2
661,/team/661/10080,Southern Ind.,2009,2
468,/team/468/10080,Southern N.H.,2009,2
2755,/team/2755/10080,Southwest Baptist,2009,2
8736,/team/8736/10080,Southwest Minn. St.,2009,2
8744,/team/8744/10080,Southwestern Okla.,2009,2
592,/team/592/10080,St. Andrews,2009,2
593,/team/593/10080,St. Anselm,2009,2
598,/team/598/10080,St. Cloud St.,2009,2
1334,/team/1334/10080,St. Edward's,2009,2
604,/team/604/10080,St. Joseph's (IN),2009,2
1346,/team/1346/10080,St. Mary's (TX),2009,2
616,/team/616/10080,St. Paul's,2009,2
1348,/team/1348/10080,St. Thomas Aquinas,2009,2
103,/team/103/10080,Stanislaus St.,2009,2
680,/team/680/10080,Stillman,2009,2
682,/team/682/10080,Stonehill,2009,2
689,/team/689/10080,Tampa,2009,2
1395,/team/1395/10080,Tarleton St.,2009,2
30090,/team/30090/10080,Tex. A&M Int'l,2009,2
199,/team/199/10080,Tex. A&M-Commerce,2009,2
696,/team/696/10080,Tex. A&M-Kingsville,2009,2
30088,/team/30088/10080,Tex. Permian Basin,2009,2
1403,/team/1403/10080,Tiffin,2009,2
499,/team/499/10080,Truman,2009,2
12830,/team/12830/10080,Tusculum,2009,2
720,/team/720/10080,Tuskegee,2009,2
112,/team/112/10080,UC San Diego,2009,2
9754,/team/9754/10080,UC-Colo. Springs,2009,2
309,/team/309/10080,UIndy,2009,2
368,/team/368/10080,UMass Lowell,2009,2
537,/team/537/10080,UNC Pembroke,2009,2
28594,/team/28594/10080,USciences,2009,2
728,/team/728/10080,Upper Iowa,2009,2
734,/team/734/10080,Valdosta St.,2009,2
743,/team/743/10080,Virginia St.,2009,2
744,/team/744/10080,Virginia Union,2009,2
2814,/team/2814/10080,Washburn,2009,2
1029,/team/1029/10080,Washington Adventist,2009,2
757,/team/757/10080,Wayne St. (MI),2009,2
1433,/team/1433/10080,Wayne St. (NE),2009,2
358,/team/358/10080,West Ala.,2009,2
765,/team/765/10080,West Chester,2009,2
11740,/team/11740/10080,West Florida,2009,2
766,/team/766/10080,West Ga.,2009,2
1438,/team/1438/10080,West Liberty,2009,2
767,/team/767/10080,West Tex. A&M,2009,2
14901,/team/14901/10080,West Va. Tech,2009,2
9630,/team/9630/10080,West Va. Wesleyan,2009,2
1439,/team/1439/10080,West Virginia St.,2009,2
1445,/team/1445/10080,Western N.M.,2009,2
1446,/team/1446/10080,Western Ore.,2009,2
2759,/team/2759/10080,Western St.,2009,2
